CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,326,1,1
2,IPC,380,1,1
3,IPC,379,1,1
4,IPC,147,1,1
5,IPC,380,1,1
6,IPC,380,1,1
7,IPC,498A,1,1
8,IPC,379,1,1
9,IPC,323,1,1
10,IPC,326,1,1
11,IPC,66D-ITACT,1,1
12,IPC,376,1,1
13,BNS,64,1,1
14,IPC,354,1,1
15,IPC,392,1,1
16,IPC,392,1,1
17,IPC,379,1,1
18,IPC,380,1,1
19,IPC,304,1,1
20,IPC,380,1,1
21,IPC,406,1,1
22,IPC,379,1,1
23,IPC,147,1,1
24,IPC,420,1,1
25,IPC,323,1,1
26,IPC,379,1,1
27,IPC,354,1,1
28,IPC,144,1,1
29,IPC,144,1,1
30,IPC,380,1,1
31,IPC,379,1,1
32,IPC,379,1,1
33,IPC,323,1,1
34,IPC,379,1,1
35,IPC,147,1,1
36,BNS,109,1,1
37,IPC,498A,1,1
38,IPC,379A,1,1
39,IPC,144,1,1
40,IPC,323,1,1
41,IPC,379,1,1
42,IPC,144,1,1
43,POCSO,4,1,1
44,IPC,66D-ITACT,1,1
45,POCSO,4,1,1
46,NDPS,20,1,1
47,ARMS,25,1,1
47,ARMS,27,2,2
48,IPC,392,1,1
49,IPC,354,1,1
50,IPC,323,1,1
51,IPC,323,1,1
52,IPC,66D-ITACT,1,1
53,IPC,66D-ITACT,1,1
54,IPC,420,1,1
55,IPC,498A,1,1
56,IPC,420,1,1
57,IPC,379A,1,1
58,IPC,354,1,1
59,NDPS,20,1,1
60,IPC,376,1,1
61,IPC,380,1,1
62,NDPS,20,1,1
63,IPC,379A,1,1
64,IPC,380,1,1
65,IPC,406,1,1
66,IPC,420,1,1
67,IPC,354,1,1
68,IPC,376,1,1
68,BNS,64,2,2
69,IPC,323,1,1
70,IPC,379,1,1
71,IPC,323,1,1
72,IPC,436,1,1
73,IPC,379A,1,1
74,IPC,354,1,1
75,IPC,379A,1,1
76,IPC,379A,1,1
77,IPC,144,1,1
78,IPC,304,1,1
79,IPC,304B,1,1
80,IPC,420,1,1
81,IPC,498A,1,1
82,IPC,144,1,1
83,IPC,380,1,1
84,IPC,420,1,1
85,IPC,323,1,1
86,IPC,379,1,1
87,IPC,304,1,1
88,IPC,420,1,1
89,IPC,380,1,1
90,IPC,66D-ITACT,1,1
91,NDPS,20,1,1
92,BNS,64,1,1
93,IPC,380,1,1
94,IPC,420,1,1
95,BNS,64,1,1
95,IPC,376,2,2
96,IPC,379A,1,1
97,IPC,379,1,1
98,IPC,420,1,1
99,BNS,103,1,1
99,IPC,302,2,2
100,BNS,109,1,1
101,IPC,380,1,1
102,IPC,323,1,1
103,IPC,379,1,1
104,IPC,304,1,1
105,IPC,379,1,1
106,IPC,323,1,1
107,IPC,376,1,1
108,IPC,380,1,1
109,IPC,379,1,1
110,IPC,379,1,1
111,IPC,323,1,1
112,IPC,326,1,1
113,IPC,380,1,1
114,IPC,379,1,1
115,IPC,380,1,1
116,IPC,380,1,1
117,IPC,379,1,1
118,IPC,354,1,1
119,IPC,379,1,1
120,IPC,392,1,1
121,IPC,379A,1,1
122,IPC,379,1,1
123,IPC,379,1,1
124,IPC,323,1,1
125,IPC,147,1,1
126,IPC,379A,1,1
127,IPC,380,1,1
128,IPC,379,1,1
129,IPC,379,1,1
130,IPC,380,1,1
131,IPC,323,1,1
132,IPC,436,1,1
133,IPC,354,1,1
134,IPC,147,1,1
135,BNS,64,1,1
136,IPC,147,1,1
137,IPC,406,1,1
138,IPC,379,1,1
139,IPC,420,1,1
140,IPC,395,1,1
141,IPC,420,1,1
142,POCSO,4,1,1
143,IPC,354,1,1
144,IPC,379,1,1
145,IPC,380,1,1
146,BNS,109,1,1
146,IPC,307,2,2
147,IPC,380,1,1
148,IPC,379,1,1
149,IPC,326,1,1
150,IPC,380,1,1
151,IPC,376,1,1
152,IPC,354,1,1
153,IPC,326,1,1
154,IPC,420,1,1
155,ARMS,27,1,1
156,IPC,323,1,1
157,NDPS,20,1,1
158,IPC,379A,1,1
159,IPC,147,1,1
160,NDPS,20,1,1
161,IPC,420,1,1
162,IPC,498A,1,1
163,IPC,498A,1,1
164,IPC,379A,1,1
165,IPC,379A,1,1
166,IPC,66D-ITACT,1,1
167,IPC,420,1,1
168,IPC,379,1,1
169,IPC,420,1,1
170,IPC,379,1,1
171,IPC,379A,1,1
172,IPC,144,1,1
173,IPC,379,1,1
174,IPC,380,1,1
175,IPC,392,1,1
176,BNS,103,1,1
177,IPC,498A,1,1
178,IPC,420,1,1
179,IPC,379,1,1
180,IPC,379,1,1
181,IPC,379,1,1
182,IPC,354,1,1
183,IPC,326,1,1
184,IPC,323,1,1
185,IPC,379,1,1
186,IPC,144,1,1
187,BNS,103,1,1
188,IPC,326,1,1
189,IPC,326,1,1
190,IPC,323,1,1
191,POCSO,4,1,1
192,IPC,392,1,1
193,IPC,354,1,1
194,IPC,420,1,1
195,BNS,109,1,1
196,IPC,379,1,1
197,IPC,363,1,1
198,IPC,380,1,1
199,IPC,395,1,1
200,IPC,363,1,1
201,IPC,379,1,1
202,IPC,323,1,1
203,IPC,379,1,1
204,IPC,379,1,1
205,IPC,380,1,1
206,IPC,323,1,1
207,IPC,379,1,1
208,IPC,498A,1,1
209,IPC,302,1,1
209,BNS,103,2,2
210,IPC,380,1,1
211,IPC,354,1,1
212,IPC,379,1,1
213,IPC,380,1,1
214,IPC,420,1,1
215,IPC,380,1,1
216,IPC,379,1,1
217,IPC,66D-ITACT,1,1
218,IPC,420,1,1
219,IPC,304B,1,1
220,IPC,66D-ITACT,1,1
221,IPC,498A,1,1
222,IPC,379A,1,1
223,IPC,380,1,1
224,IPC,420,1,1
225,IPC,498A,1,1
226,IPC,66D-ITACT,1,1
227,IPC,420,1,1
228,IPC,323,1,1
229,IPC,379A,1,1
230,IPC,379,1,1
231,IPC,498A,1,1
232,IPC,354,1,1
233,IPC,380,1,1
234,IPC,436,1,1
235,IPC,379,1,1
236,IPC,354,1,1
237,IPC,379,1,1
238,IPC,323,1,1
239,IPC,420,1,1
240,IPC,323,1,1
