ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2023-06-11,1,1,185,2230,2,1,1,0
2,2,1,2023-02-18,1,1,41,161,3,2,1,0
3,2,1,2023-02-04,1,1,41,161,3,4,1,0
4,2,2,2023-02-18,1,1,41,161,3,5,1,0
5,3,1,2023-10-19,1,1,61,452,2,6,1,0
6,8,1,2023-07-02,1,1,166,1959,1,15,1,0
7,9,1,2023-06-29,1,1,75,627,3,16,1,0
8,11,1,2023-12-22,1,1,148,1683,2,18,1,0
9,12,2,2023-08-17,1,1,148,1683,3,19,1,0
10,13,2,2023-02-28,1,1,59,426,3,21,1,0
11,13,1,2023-02-13,1,1,59,426,3,22,1,0
12,16,2,2023-09-26,1,1,160,1862,1,25,1,0
13,16,1,2023-09-16,1,1,160,1862,1,26,1,0
14,16,1,2023-09-10,1,1,160,1862,1,27,1,0
15,17,1,2023-04-06,1,1,153,1765,3,28,1,0
16,18,1,2023-09-04,1,1,181,2182,3,30,1,0
17,18,1,2023-08-09,1,1,181,2182,3,32,1,0
18,19,1,2023-01-10,1,1,91,847,1,33,1,0
19,19,1,2023-01-22,1,1,91,847,1,35,1,0
20,20,1,2023-12-05,1,1,166,1962,1,36,1,0
21,21,1,2023-03-01,1,1,51,311,1,37,1,0
22,22,1,2023-10-09,1,1,163,1914,2,38,1,0
23,22,1,2023-11-11,1,1,163,1914,2,40,1,0
24,22,1,2023-10-13,1,1,163,1914,2,41,1,0
25,23,1,2023-08-06,1,1,77,657,1,42,1,0
26,25,1,2023-11-03,1,1,88,810,3,44,1,0
27,25,1,2023-10-07,1,1,88,810,3,46,1,0
28,26,1,2023-03-08,1,1,107,1079,2,47,1,0
29,27,2,2023-04-07,1,1,76,649,1,48,1,0
30,27,2,2023-04-12,1,1,76,649,1,49,1,0
31,27,1,2023-03-03,1,1,76,649,1,50,1,0
32,28,1,2023-05-27,1,1,143,1596,1,52,1,0
33,29,1,2023-05-25,1,1,37,82,2,54,1,0
34,30,1,2023-09-06,1,1,130,1411,2,56,1,0
35,30,2,2023-08-16,1,1,130,1411,2,57,1,0
36,30,1,2023-08-10,1,1,130,1411,2,58,1,0
37,31,1,2024-01-27,1,1,72,600,2,59,1,0
38,31,1,2024-02-01,1,1,72,600,2,60,1,0
39,32,1,2023-09-28,1,1,100,967,1,61,1,0
40,33,1,2023-11-08,1,1,178,2138,2,63,1,0
41,34,1,2023-05-12,1,1,96,900,3,64,1,0
42,35,1,2023-04-14,1,1,65,515,2,65,1,0
43,35,2,2023-04-29,1,1,65,515,2,66,1,0
44,36,1,2023-12-25,1,1,35,56,2,67,1,0
45,37,1,2023-08-09,1,1,137,1506,3,68,1,0
46,38,1,2023-02-21,1,1,60,437,1,70,1,0
47,39,2,2023-11-01,1,1,65,499,1,71,1,1
48,40,1,2023-11-26,1,1,111,1123,1,72,1,0
49,40,2,2024-01-15,1,1,111,1123,1,73,1,0
50,40,2,2023-12-26,1,1,111,1123,1,74,1,0
51,42,1,2023-06-13,1,1,100,970,2,77,1,0
52,42,1,2023-05-18,1,1,100,970,2,78,1,0
53,43,1,2023-05-21,1,1,157,1826,1,79,1,0
54,44,1,2023-03-24,1,1,88,811,1,81,1,0
55,45,1,2023-03-13,1,1,47,258,3,82,1,0
