CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2023-12-19 17:44:00,A,2230
2,2,2023-09-30 04:15:00,A,161
3,3,2024-06-21 02:51:00,A,452
4,4,2023-03-11 15:20:00,A,2191
5,5,2023-10-30 20:28:00,C,1481
6,6,2023-09-09 03:01:00,A,1286
7,7,2023-11-23 10:09:00,A,2043
8,8,2023-08-30 04:53:00,B,1959
9,9,2024-01-25 06:56:00,A,627
10,10,2024-03-01 10:00:00,C,499
11,11,2024-06-21 23:10:00,A,1683
12,12,2023-08-03 20:57:00,B,1683
13,13,2023-06-25 02:08:00,A,426
14,14,2024-08-07 17:55:00,B,2361
15,15,2023-12-14 22:31:00,C,2129
16,16,2023-11-25 03:53:00,C,1862
17,17,2023-11-08 04:34:00,C,1765
18,18,2024-01-12 23:27:00,A,2182
19,19,2023-06-18 07:50:00,A,847
20,20,2024-02-08 09:53:00,A,1962
21,21,2023-07-29 00:24:00,A,311
22,22,2024-03-03 00:08:00,A,1914
23,23,2023-10-22 08:57:00,C,657
24,24,2024-02-27 19:31:00,A,1829
25,25,2024-03-07 18:27:00,A,810
26,26,2023-09-30 20:54:00,C,1079
27,27,2023-08-01 07:27:00,A,649
28,28,2023-09-02 08:12:00,A,1596
29,29,2023-10-29 04:15:00,A,82
30,30,2023-11-03 00:24:00,A,1411
31,31,2024-09-23 18:42:00,C,600
32,32,2023-12-12 05:10:00,C,967
33,33,2024-03-22 22:32:00,A,2138
34,34,2024-01-14 01:08:00,C,900
35,35,2023-07-17 01:07:00,A,515
36,36,2024-01-18 18:37:00,A,56
37,37,2024-01-04 13:40:00,A,1506
38,38,2023-09-12 20:11:00,C,437
39,39,2024-05-22 04:55:00,A,499
40,40,2024-04-03 16:01:00,A,1123
41,41,2023-04-05 05:27:00,C,852
42,42,2023-12-12 15:43:00,A,970
43,43,2023-06-13 05:21:00,A,1826
44,44,2023-11-19 20:47:00,C,811
45,45,2023-03-16 00:36:00,A,258
46,46,2023-11-25 08:43:00,C,1769
47,47,2023-11-02 03:59:00,A,2427
48,48,2023-10-25 19:32:00,A,1660
49,49,2024-02-27 20:29:00,C,2202
50,50,2023-10-03 05:34:00,A,1693
51,51,2023-11-01 09:59:00,A,1683
52,52,2024-05-17 09:31:00,C,224
53,53,2024-01-09 04:42:00,C,891
54,54,2023-09-29 06:25:00,A,2231
55,55,2023-07-10 17:26:00,A,8
56,56,2023-12-23 23:35:00,A,1533
57,57,2024-03-25 15:44:00,C,1672
58,58,2023-10-23 05:02:00,A,123
59,59,2024-01-12 06:58:00,A,1794
60,60,2024-04-10 06:37:00,C,595
61,61,2024-09-09 08:27:00,A,714
62,62,2023-09-06 09:14:00,A,495
63,63,2024-01-19 02:05:00,A,2320
64,64,2023-08-15 22:26:00,A,491
65,65,2023-09-13 03:53:00,A,2018
66,66,2024-02-22 04:08:00,C,474
67,67,2023-12-09 11:42:00,A,697
68,68,2023-06-17 01:19:00,A,505
69,69,2023-07-29 09:38:00,A,2243
70,70,2024-03-01 23:48:00,C,458
71,71,2023-06-26 16:08:00,A,1524
72,72,2024-04-09 20:26:00,A,1484
73,73,2023-07-21 05:17:00,C,1558
74,74,2023-06-11 21:39:00,A,1966
75,75,2023-09-23 04:23:00,A,1343
76,76,2024-01-18 13:33:00,B,1263
77,77,2023-05-11 09:09:00,A,706
78,78,2023-04-12 02:21:00,A,281
79,79,2024-04-27 22:00:00,A,644
80,80,2024-05-03 17:28:00,A,629
81,81,2023-06-16 18:18:00,B,1628
82,82,2024-01-21 06:55:00,A,349
83,83,2023-06-18 01:47:00,A,1818
84,84,2024-01-13 03:01:00,B,392
85,85,2024-04-07 16:11:00,A,2431
86,86,2023-06-09 04:34:00,A,2433
87,87,2024-02-11 08:06:00,A,309
88,88,2024-01-14 02:13:00,C,171
89,89,2023-10-17 02:54:00,C,1313
90,90,2024-06-06 20:30:00,A,2204
91,91,2024-01-30 14:13:00,C,932
92,92,2024-09-18 05:49:00,A,1160
93,93,2024-02-19 22:27:00,C,2167
94,94,2023-12-09 13:26:00,A,2145
95,95,2024-03-06 00:24:00,A,1878
96,96,2023-11-16 04:41:00,C,947
97,97,2024-04-20 22:16:00,A,1860
98,98,2024-06-18 06:34:00,A,1112
99,99,2023-11-06 17:50:00,C,1658
100,100,2024-08-09 17:22:00,A,1945
101,101,2023-04-11 10:44:00,A,997
