CourtID,CourtName,DistrictID,StateID,Active
1,"District & Sessions Court, Bengaluru Urban",1,1,1
2,"JMFC Court, Bengaluru Urban",1,1,1
3,"Fast Track Special Court, Bengaluru Urban",1,1,1
4,"District & Sessions Court, Bengaluru Rural",2,1,1
5,"JMFC Court, Bengaluru Rural",2,1,1
6,"Fast Track Special Court, Bengaluru Rural",2,1,1
7,"District & Sessions Court, Mysuru",3,1,1
8,"JMFC Court, Mysuru",3,1,1
9,"Fast Track Special Court, Mysuru",3,1,1
10,"District & Sessions Court, Belagavi",4,1,1
11,"JMFC Court, Belagavi",4,1,1
12,"Fast Track Special Court, Belagavi",4,1,1
13,"District & Sessions Court, Kalaburagi",5,1,1
14,"JMFC Court, Kalaburagi",5,1,1
15,"Fast Track Special Court, Kalaburagi",5,1,1
16,"District & Sessions Court, Tumakuru",6,1,1
17,"JMFC Court, Tumakuru",6,1,1
18,"Fast Track Special Court, Tumakuru",6,1,1
19,"District & Sessions Court, Ballari",7,1,1
20,"JMFC Court, Ballari",7,1,1
21,"Fast Track Special Court, Ballari",7,1,1
22,"District & Sessions Court, Vijayapura",8,1,1
23,"JMFC Court, Vijayapura",8,1,1
24,"Fast Track Special Court, Vijayapura",8,1,1
25,"District & Sessions Court, Dharwad",9,1,1
26,"JMFC Court, Dharwad",9,1,1
27,"Fast Track Special Court, Dharwad",9,1,1
28,"District & Sessions Court, Dakshina Kannada",10,1,1
29,"JMFC Court, Dakshina Kannada",10,1,1
30,"Fast Track Special Court, Dakshina Kannada",10,1,1
31,"District & Sessions Court, Shivamogga",11,1,1
32,"JMFC Court, Shivamogga",11,1,1
33,"Fast Track Special Court, Shivamogga",11,1,1
34,"District & Sessions Court, Mandya",12,1,1
35,"JMFC Court, Mandya",12,1,1
36,"Fast Track Special Court, Mandya",12,1,1
37,"District & Sessions Court, Hassan",13,1,1
38,"JMFC Court, Hassan",13,1,1
39,"Fast Track Special Court, Hassan",13,1,1
40,"District & Sessions Court, Raichur",14,1,1
41,"JMFC Court, Raichur",14,1,1
42,"Fast Track Special Court, Raichur",14,1,1
43,"District & Sessions Court, Bidar",15,1,1
44,"JMFC Court, Bidar",15,1,1
45,"Fast Track Special Court, Bidar",15,1,1
46,"District & Sessions Court, Bagalkote",16,1,1
47,"JMFC Court, Bagalkote",16,1,1
48,"Fast Track Special Court, Bagalkote",16,1,1
49,"District & Sessions Court, Chitradurga",17,1,1
50,"JMFC Court, Chitradurga",17,1,1
51,"Fast Track Special Court, Chitradurga",17,1,1
52,"District & Sessions Court, Kolar",18,1,1
53,"JMFC Court, Kolar",18,1,1
54,"Fast Track Special Court, Kolar",18,1,1
55,"District & Sessions Court, Udupi",19,1,1
56,"JMFC Court, Udupi",19,1,1
57,"Fast Track Special Court, Udupi",19,1,1
58,"District & Sessions Court, Davanagere",20,1,1
59,"JMFC Court, Davanagere",20,1,1
60,"Fast Track Special Court, Davanagere",20,1,1
61,"District & Sessions Court, Chikkamagaluru",21,1,1
62,"JMFC Court, Chikkamagaluru",21,1,1
63,"Fast Track Special Court, Chikkamagaluru",21,1,1
64,"District & Sessions Court, Koppal",22,1,1
65,"JMFC Court, Koppal",22,1,1
66,"Fast Track Special Court, Koppal",22,1,1
67,"District & Sessions Court, Haveri",23,1,1
68,"JMFC Court, Haveri",23,1,1
69,"Fast Track Special Court, Haveri",23,1,1
70,"District & Sessions Court, Chamarajanagara",24,1,1
71,"JMFC Court, Chamarajanagara",24,1,1
72,"Fast Track Special Court, Chamarajanagara",24,1,1
73,"District & Sessions Court, Gadag",25,1,1
74,"JMFC Court, Gadag",25,1,1
75,"Fast Track Special Court, Gadag",25,1,1
76,"District & Sessions Court, Uttara Kannada",26,1,1
77,"JMFC Court, Uttara Kannada",26,1,1
78,"Fast Track Special Court, Uttara Kannada",26,1,1
79,"District & Sessions Court, Yadgir",27,1,1
80,"JMFC Court, Yadgir",27,1,1
81,"Fast Track Special Court, Yadgir",27,1,1
82,"District & Sessions Court, Kodagu",28,1,1
83,"JMFC Court, Kodagu",28,1,1
84,"Fast Track Special Court, Kodagu",28,1,1
85,"District & Sessions Court, Chikkaballapura",29,1,1
86,"JMFC Court, Chikkaballapura",29,1,1
87,"Fast Track Special Court, Chikkaballapura",29,1,1
88,"District & Sessions Court, Ramanagara",30,1,1
89,"JMFC Court, Ramanagara",30,1,1
90,"Fast Track Special Court, Ramanagara",30,1,1
91,"District & Sessions Court, Vijayanagara",31,1,1
92,"JMFC Court, Vijayanagara",31,1,1
93,"Fast Track Special Court, Vijayanagara",31,1,1
