DistrictID,DistrictName,StateID,Active
1,Bengaluru Urban,1,1
2,Bengaluru Rural,1,1
3,Mysuru,1,1
4,Belagavi,1,1
5,Kalaburagi,1,1
6,Tumakuru,1,1
7,Ballari,1,1
8,Vijayapura,1,1
9,Dharwad,1,1
10,Dakshina Kannada,1,1
11,Shivamogga,1,1
12,Mandya,1,1
13,Hassan,1,1
14,Raichur,1,1
15,Bidar,1,1
16,Bagalkote,1,1
17,Chitradurga,1,1
18,Kolar,1,1
19,Udupi,1,1
20,Davanagere,1,1
21,Chikkamagaluru,1,1
22,Koppal,1,1
23,Haveri,1,1
24,Chamarajanagara,1,1
25,Gadag,1,1
26,Uttara Kannada,1,1
27,Yadgir,1,1
28,Kodagu,1,1
29,Chikkaballapura,1,1
30,Ramanagara,1,1
31,Vijayanagara,1,1
