UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,"SP Office, Bengaluru Urban",3,,1,1,1,1
2,"SP Office, Bengaluru Rural",3,,1,1,2,1
3,"SP Office, Mysuru",3,,1,1,3,1
4,"SP Office, Belagavi",3,,1,1,4,1
5,"SP Office, Kalaburagi",3,,1,1,5,1
6,"SP Office, Tumakuru",3,,1,1,6,1
7,"SP Office, Ballari",3,,1,1,7,1
8,"SP Office, Vijayapura",3,,1,1,8,1
9,"SP Office, Dharwad",3,,1,1,9,1
10,"SP Office, Dakshina Kannada",3,,1,1,10,1
11,"SP Office, Shivamogga",3,,1,1,11,1
12,"SP Office, Mandya",3,,1,1,12,1
13,"SP Office, Hassan",3,,1,1,13,1
14,"SP Office, Raichur",3,,1,1,14,1
15,"SP Office, Bidar",3,,1,1,15,1
16,"SP Office, Bagalkote",3,,1,1,16,1
17,"SP Office, Chitradurga",3,,1,1,17,1
18,"SP Office, Kolar",3,,1,1,18,1
19,"SP Office, Udupi",3,,1,1,19,1
20,"SP Office, Davanagere",3,,1,1,20,1
21,"SP Office, Chikkamagaluru",3,,1,1,21,1
22,"SP Office, Koppal",3,,1,1,22,1
23,"SP Office, Haveri",3,,1,1,23,1
24,"SP Office, Chamarajanagara",3,,1,1,24,1
25,"SP Office, Gadag",3,,1,1,25,1
26,"SP Office, Uttara Kannada",3,,1,1,26,1
27,"SP Office, Yadgir",3,,1,1,27,1
28,"SP Office, Kodagu",3,,1,1,28,1
29,"SP Office, Chikkaballapura",3,,1,1,29,1
30,"SP Office, Ramanagara",3,,1,1,30,1
31,"SP Office, Vijayanagara",3,,1,1,31,1
32,Bengaluru Urban PS-1,5,1.0,1,1,1,1
33,Bengaluru Urban PS-2,5,1.0,1,1,1,1
34,Bengaluru Urban PS-3,5,1.0,1,1,1,1
35,Bengaluru Urban PS-4,5,1.0,1,1,1,1
36,Bengaluru Urban PS-5,5,1.0,1,1,1,1
37,Bengaluru Urban PS-6,5,1.0,1,1,1,1
38,Bengaluru Urban PS-7,5,1.0,1,1,1,1
39,Bengaluru Urban PS-8,5,1.0,1,1,1,1
40,Bengaluru Urban PS-9,5,1.0,1,1,1,1
41,Bengaluru Urban PS-10,5,1.0,1,1,1,1
42,Bengaluru Urban PS-11,5,1.0,1,1,1,1
43,Bengaluru Urban PS-12,5,1.0,1,1,1,1
44,Bengaluru Urban PS-13,5,1.0,1,1,1,1
45,Bengaluru Urban PS-14,5,1.0,1,1,1,1
46,Bengaluru Urban PS-15,5,1.0,1,1,1,1
47,Bengaluru Urban PS-16,5,1.0,1,1,1,1
48,Bengaluru Urban PS-17,5,1.0,1,1,1,1
49,Bengaluru Urban PS-18,5,1.0,1,1,1,1
50,Bengaluru Urban PS-19,5,1.0,1,1,1,1
51,Bengaluru Urban PS-20,5,1.0,1,1,1,1
52,Bengaluru Urban PS-21,5,1.0,1,1,1,1
53,Bengaluru Urban PS-22,5,1.0,1,1,1,1
54,Bengaluru Urban PS-23,5,1.0,1,1,1,1
55,Bengaluru Urban PS-24,5,1.0,1,1,1,1
56,Bengaluru Urban PS-25,5,1.0,1,1,1,1
57,Bengaluru Urban PS-26,5,1.0,1,1,1,1
58,Bengaluru Urban PS-27,5,1.0,1,1,1,1
59,Bengaluru Urban PS-28,5,1.0,1,1,1,1
60,Bengaluru Urban PS-29,5,1.0,1,1,1,1
61,Bengaluru Urban PS-30,5,1.0,1,1,1,1
62,Bengaluru Urban PS-31,5,1.0,1,1,1,1
63,Bengaluru Urban PS-32,5,1.0,1,1,1,1
64,Bengaluru Urban PS-33,5,1.0,1,1,1,1
65,Bengaluru Urban PS-34,5,1.0,1,1,1,1
66,Bengaluru Urban PS-35,5,1.0,1,1,1,1
67,Bengaluru Urban PS-36,5,1.0,1,1,1,1
68,Bengaluru Urban PS-37,5,1.0,1,1,1,1
69,Bengaluru Urban PS-38,5,1.0,1,1,1,1
70,Bengaluru Urban PS-39,5,1.0,1,1,1,1
71,Bengaluru Urban PS-40,5,1.0,1,1,1,1
72,Bengaluru Urban PS-41,5,1.0,1,1,1,1
73,Bengaluru Urban PS-42,5,1.0,1,1,1,1
74,Bengaluru Urban PS-43,5,1.0,1,1,1,1
75,Bengaluru Urban PS-44,5,1.0,1,1,1,1
76,Bengaluru Urban PS-45,5,1.0,1,1,1,1
77,Bengaluru Urban PS-46,5,1.0,1,1,1,1
78,Bengaluru Urban PS-47,5,1.0,1,1,1,1
79,Bengaluru Urban PS-48,5,1.0,1,1,1,1
80,Bengaluru Urban PS-49,5,1.0,1,1,1,1
81,Bengaluru Urban PS-50,5,1.0,1,1,1,1
82,Bengaluru Urban PS-51,5,1.0,1,1,1,1
83,Bengaluru Urban PS-52,5,1.0,1,1,1,1
84,Bengaluru Urban PS-53,5,1.0,1,1,1,1
85,Bengaluru Urban PS-54,5,1.0,1,1,1,1
86,Bengaluru Urban PS-55,5,1.0,1,1,1,1
87,Bengaluru Urban PS-56,5,1.0,1,1,1,1
88,Bengaluru Urban PS-57,5,1.0,1,1,1,1
89,Bengaluru Urban PS-58,5,1.0,1,1,1,1
90,Bengaluru Urban PS-59,5,1.0,1,1,1,1
91,Bengaluru Urban PS-60,5,1.0,1,1,1,1
92,Bengaluru Urban PS-61,5,1.0,1,1,1,1
93,Bengaluru Urban PS-62,5,1.0,1,1,1,1
94,Bengaluru Urban PS-63,5,1.0,1,1,1,1
95,Bengaluru Urban PS-64,5,1.0,1,1,1,1
96,Bengaluru Urban PS-65,5,1.0,1,1,1,1
97,Bengaluru Urban PS-66,5,1.0,1,1,1,1
98,Bengaluru Urban PS-67,5,1.0,1,1,1,1
99,Bengaluru Urban PS-68,5,1.0,1,1,1,1
100,Bengaluru Urban PS-69,5,1.0,1,1,1,1
101,Bengaluru Urban PS-70,5,1.0,1,1,1,1
102,Bengaluru Urban PS-71,5,1.0,1,1,1,1
103,Bengaluru Urban PS-72,5,1.0,1,1,1,1
104,Bengaluru Urban PS-73,5,1.0,1,1,1,1
105,Bengaluru Urban PS-74,5,1.0,1,1,1,1
106,Bengaluru Urban PS-75,5,1.0,1,1,1,1
