CaseMasterID,CrimeNo,DistrictName,subhead,GravityOffenceID,CrimeRegisteredDate,risk_score
6721,300020218202500001,Bengaluru Rural,Cyber Fraud,2,2025-10-06,0.9162962411048169
38042,800291069202500002,Chikkaballapura,Cyber Fraud,2,2025-10-15,0.8988656681765559
8447,100030254202500006,Mysuru,Cyber Fraud,2,2025-11-15,0.8980755316573669
8328,100030221202500009,Mysuru,Cyber Fraud,2,2025-10-14,0.8971053914145884
25518,100150743202500008,Bidar,Cyber Fraud,2,2025-11-24,0.8865842847992113
28495,300180819202500002,Kolar,Cyber Fraud,2,2025-10-17,0.8845280288360919
16340,100070453202500009,Ballari,Cyber Fraud,2,2025-11-02,0.8813630508665362
36062,100261011202500007,Uttara Kannada,Cyber Fraud,2,2025-12-02,0.8763608095302649
8092,100030224202500002,Mysuru,Cyber Fraud,2,2025-12-13,0.872609789022051
32380,100220919202500001,Koppal,Cyber Fraud,2,2025-11-12,0.8685094611945315
8381,100030247202500008,Mysuru,Cyber Fraud,2,2025-11-27,0.8660991818717909
32573,100220936202500008,Koppal,Cyber Fraud,2,2025-10-18,0.8643071016893767
5050,100010193202500004,Bengaluru Urban,Auto Theft,2,2025-11-25,0.8638061514834773
18419,100090542202500004,Dharwad,Cyber Fraud,2,2025-11-26,0.8625610225490646
28514,100180828202500002,Kolar,Cyber Fraud,2,2025-12-07,0.861498389290152
14442,100060418202500001,Tumakuru,Cyber Fraud,2,2025-12-15,0.8595496217181141
10864,100040329202500002,Belagavi,Cyber Fraud,2,2025-11-28,0.8584204867669027
37792,100291083202500002,Chikkaballapura,Cyber Fraud,2,2025-11-07,0.8563522298322587
15933,100070482202500001,Ballari,Cyber Fraud,2,2025-12-11,0.8521214784563743
33534,800230947202500001,Haveri,Cyber Fraud,2,2025-10-11,0.8520335905860329
17364,100080490202500003,Vijayapura,Cyber Fraud,2,2025-12-27,0.8489490183166049
27565,100170805202500004,Chitradurga,Cyber Fraud,2,2025-12-06,0.8472912389720442
33464,100230949202500001,Haveri,Cyber Fraud,2,2025-11-20,0.8459536666843588
5811,100010098202500013,Bengaluru Urban,Cyber Fraud,2,2025-11-09,0.8457038685515975
8428,100030223202500009,Mysuru,Cyber Fraud,2,2025-12-17,0.8450491192984375
14863,100060415202500006,Tumakuru,Cyber Fraud,2,2025-11-13,0.8447618347667135
4130,100010035202500002,Bengaluru Urban,Cyber Fraud,2,2025-12-21,0.8409478040990123
36714,800271040202500002,Yadgir,Theft,2,2025-11-16,0.8405514130928993
31654,400210897202500002,Chikkamagaluru,Cyber Fraud,2,2025-11-20,0.8398753062078972
27791,100170791202500013,Chitradurga,Cyber Fraud,2,2025-12-15,0.8389426939961495
33599,800230960202500001,Haveri,Cyber Fraud,2,2025-10-22,0.8388216863893296
37861,100291079202500009,Chikkaballapura,Cyber Fraud,2,2025-10-04,0.8383383464277859
24504,100140692202500004,Raichur,Cyber Fraud,2,2025-11-03,0.837965990579543
4168,300010079202500001,Bengaluru Urban,Cyber Fraud,2,2025-12-10,0.8374148566814217
27713,100170795202500011,Chitradurga,Cyber Fraud,2,2025-11-14,0.8373899864271541
6523,100020215202500001,Bengaluru Rural,Cyber Fraud,2,2025-10-17,0.8356724086562856
33568,100230950202500011,Haveri,Cyber Fraud,2,2025-12-04,0.8273565549488441
22134,100120638202500003,Mandya,Cyber Fraud,2,2025-11-16,0.8255848879365559
25410,800150724202500002,Bidar,Auto Theft,2,2025-10-22,0.8250326662528935
12747,100050359202500002,Kalaburagi,Burglary,2,2025-12-20,0.824850584567144
23183,100130657202500001,Hassan,Theft,2,2025-10-14,0.8245246568407499
17404,100080521202500008,Vijayapura,Cyber Fraud,2,2025-12-20,0.8242446629276575
11171,100040315202500006,Belagavi,Cyber Fraud,2,2025-11-18,0.8224195819390957
