DistrictID,DistrictName,population,urbanization_pct,literacy_rate,total_cases,property_cases,crime_rate_per_100k,property_crime_rate_per_100k,unemployment_rate
1,Bengaluru Urban,9852470,80.0,84.8,6096,2186,61.87280955943028,22.187329674690712,6.3
2,Bengaluru Rural,1026299,26.2,75.3,636,224,61.970244538872194,21.82599807658392,3.8
3,Mysuru,3078897,38.8,75.9,1905,703,61.87280704745888,22.83285215452157,6.3
4,Belagavi,4926235,50.0,78.1,3048,1179,61.87280955943028,23.933084800055216,8.9
5,Kalaburagi,2545221,35.5,73.0,1575,622,61.88067755216541,24.437956468220243,9.1
6,Tumakuru,2791533,37.0,75.5,1728,632,61.90147134209053,22.639889981597925,5.9
7,Ballari,2257858,33.8,78.8,1398,531,61.917091331695794,23.517865162468144,7.7
8,Vijayapura,1970494,32.0,76.3,1218,449,61.81191112482454,22.78616428164714,4.8
9,Dharwad,1847338,31.2,78.0,1143,418,61.87281374604972,22.627153233463503,6.7
10,Dakshina Kannada,2175754,33.2,76.1,1347,497,61.90957249762611,22.842655925256256,6.8
11,Shivamogga,1847338,31.2,76.0,1143,428,61.87281374604972,23.16847268880952,6.5
12,Mandya,1888390,31.5,75.5,1167,402,61.79867506182515,21.28797547116856,2.9
13,Hassan,1847338,31.2,69.9,1143,412,61.87281374604972,22.302361560255893,5.6
14,Raichur,1724182,30.5,77.3,1068,385,61.94241675182783,22.32942925978812,5.0
15,Bidar,1601026,29.8,76.1,990,366,61.835348083041744,22.86034080645786,6.1
16,Bagalkote,1806286,31.0,76.3,1119,392,61.95032237419766,21.701989607404364,2.7
17,Chitradurga,1724182,30.5,69.6,1068,380,61.94241675182783,22.03943667199866,5.0
18,Kolar,1601026,29.8,69.3,990,389,61.835348083041744,24.296919600306303,9.5
19,Udupi,1477870,29.0,71.7,915,341,61.913429462672624,23.073748029258326,7.0
20,Davanagere,2052598,32.5,73.7,1269,498,61.82408830175222,24.261935361916947,8.1
21,Chikkamagaluru,1313663,28.0,75.1,813,298,61.88801846440068,22.684661134552773,7.3
22,Koppal,1436818,28.8,74.2,888,360,61.80323464767284,25.055365397705206,11.1
23,Haveri,1683130,30.2,76.2,1041,408,61.849055034370494,24.240551829032814,9.0
24,Chamarajanagara,1231559,27.5,72.1,762,282,61.872796999575336,22.897806763622366,8.0
25,Gadag,1026299,26.2,74.7,636,236,61.970244538872194,22.995247973543773,6.6
26,Uttara Kannada,1559974,29.5,75.7,966,367,61.92410899156012,23.52603312619313,6.6
27,Yadgir,1231559,27.5,72.1,762,266,61.872796999575336,21.598640422423937,3.3
28,Kodagu,574727,23.5,78.3,357,138,62.116448331120694,24.01140019522312,7.0
29,Chikkaballapura,1395767,28.5,75.9,864,306,61.901449167375354,21.92342991344544,5.2
30,Ramanagara,1067351,26.5,77.4,660,237,61.83532877188478,22.204504422631356,4.6
31,Vijayanagara,1436818,28.8,72.5,888,316,61.80323464767284,21.9930429602079,3.9
