ResolvedPersonID,n_cases,n_districts,cross_jurisdiction,n_co_accused_links,community_id,dominant_crime_subhead_id
24481,108,22,True,126,10,12
26399,76,12,True,90,3,5
3144,73,9,True,90,114,12
54015,67,21,True,79,95,5
2893,65,5,True,87,3,12
36791,64,12,True,99,3,12
38563,63,10,True,60,35,18
34728,63,9,True,76,44,12
19931,62,24,True,76,59,13
30565,62,9,True,88,80,12
41005,61,13,True,83,3,12
45863,60,13,True,59,25,18
54395,59,7,True,81,3,12
39463,58,19,True,73,74,12
21191,58,6,True,58,3,12
49443,57,20,True,55,2,12
121,57,3,True,64,3,12
173,56,5,True,72,3,12
289,56,5,True,86,3,12
9637,54,16,True,67,53,12
32708,54,12,True,66,14,12
159,54,4,True,69,3,12
9999,52,20,True,65,58,5
35374,52,17,True,56,58,12
7566,52,7,True,75,3,12
826,52,5,True,74,3,14
12,52,2,True,64,3,5
11814,51,11,True,65,62,12
10789,51,8,True,69,3,12
25,51,6,True,61,3,12
20,51,4,True,72,3,12
48,51,4,True,57,3,12
351,51,3,True,63,3,12
588,51,2,True,69,3,12
34126,50,13,True,52,23,12
258,50,8,True,65,3,12
23510,50,6,True,60,3,12
39764,50,6,True,58,3,12
124,50,5,True,53,3,5
49468,49,24,True,57,70,5
12789,49,11,True,60,0,12
15119,49,9,True,50,12,12
107,49,5,True,58,3,12
382,49,5,True,54,3,5
704,49,4,True,47,3,5
61,49,3,True,59,3,12
34263,48,12,True,60,59,5
274,48,7,True,51,3,5
83,48,4,True,41,10,12
86,48,4,True,69,3,12
347,48,3,True,56,3,12
14359,47,14,True,56,54,18
42307,47,10,True,60,62,12
707,46,12,True,60,105,12
217,46,5,True,56,3,5
375,46,4,True,52,3,12
46469,45,16,True,46,72,5
26037,45,12,True,46,1,12
973,45,5,True,52,3,20
66,45,4,True,52,3,12
43,45,2,True,50,3,9
417,45,2,True,58,3,12
41116,44,19,True,59,30,5
35658,44,16,True,59,18,12
138,44,8,True,51,3,12
234,44,2,True,51,3,12
41180,43,13,True,52,6,5
172,43,5,True,59,114,12
282,43,3,True,47,3,12
226,43,1,False,55,3,12
699,42,8,True,56,3,12
25781,42,3,True,55,3,12
69,42,2,True,48,3,5
177,42,1,False,51,3,12
1639,41,12,True,37,25,12
24801,41,10,True,39,7,12
24831,41,6,True,53,3,4
7074,41,3,True,39,3,12
59571,40,20,True,50,14,12
23341,40,18,True,49,86,12
902,40,16,True,51,111,5
1179,40,11,True,46,37,12
183,40,4,True,48,3,5
7590,39,11,True,49,22,13
10618,39,10,True,40,62,12
15672,39,10,True,51,40,12
56253,39,5,True,50,3,12
106,39,3,True,34,95,4
348,39,3,True,51,3,12
51669,38,11,True,44,1,12
220,38,4,True,49,3,12
49230,37,17,True,42,135,14
16888,37,12,True,45,6,12
42927,37,12,True,41,73,12
34994,37,10,True,31,164,18
42542,37,9,True,50,53,12
46805,37,8,True,40,0,18
8169,37,5,True,41,43,12
15141,37,5,True,36,161,12
14363,37,4,True,40,3,5
11339,36,18,True,47,64,5
22903,36,17,True,44,27,6
11488,36,13,True,45,2,12
2692,36,11,True,51,1,12
14148,36,11,True,45,19,12
44044,35,19,True,46,105,12
46449,35,17,True,42,97,12
26093,35,12,True,33,62,12
39258,35,12,True,37,106,5
13976,35,9,True,38,52,5
5513,35,7,True,32,3,12
1361,35,6,True,50,3,12
2589,35,5,True,39,3,5
160,35,3,True,38,3,12
210,35,1,False,54,3,4
17123,34,12,True,41,135,5
3511,34,10,True,44,59,15
32274,34,10,True,42,12,12
32844,34,8,True,31,1,12
2367,34,7,True,41,43,5
18828,34,6,True,50,43,12
11691,34,4,True,45,62,5
11715,33,7,True,42,28,5
18732,33,6,True,42,14,12
13455,33,5,True,38,62,18
28101,32,12,True,38,48,4
23095,32,11,True,34,22,12
6719,32,9,True,46,63,13
43677,32,9,True,44,105,12
41881,32,6,True,43,3,9
48263,31,15,True,38,51,5
40732,31,14,True,28,12,5
15723,31,9,True,32,1,12
42644,31,8,True,47,68,12
11694,31,5,True,35,62,12
298,31,2,True,39,3,5
25057,30,17,True,29,30,20
31792,30,16,True,36,179,18
59659,30,16,True,47,43,12
10992,30,15,True,32,126,12
32604,30,10,True,48,2,14
11547,30,9,True,43,19,5
15803,30,9,True,39,1,12
5847,30,5,True,39,1,12
11789,30,5,True,38,28,13
15183,30,3,True,46,1,12
15045,30,2,True,34,64,14
52556,29,15,True,31,20,12
35947,29,12,True,38,37,12
1559,29,10,True,29,54,5
25398,29,9,True,31,137,5
38538,29,9,True,31,93,12
3076,29,8,True,37,12,12
27662,29,8,True,40,62,5
22305,29,7,True,43,44,4
637,29,6,True,36,59,12
307,29,5,True,38,3,8
54880,28,12,True,31,45,12
11852,28,8,True,29,62,14
15146,28,5,True,28,166,14
24941,28,5,True,33,52,13
431,28,4,True,40,3,8
15016,28,4,True,37,1,12
15041,28,4,True,35,43,12
36039,28,4,True,29,1,12
11884,28,3,True,40,62,12
695,28,2,True,33,3,14
54963,27,16,True,31,1,14
60737,27,16,True,44,58,9
2553,27,9,True,35,62,12
39250,27,9,True,31,62,12
12294,27,7,True,32,105,18
24703,27,7,True,29,161,12
28652,27,7,True,28,179,13
34093,27,7,True,41,56,12
15272,27,5,True,31,166,12
14966,27,4,True,35,2,11
25557,26,13,True,25,6,4
2235,26,12,True,29,126,12
10314,26,11,True,22,2,12
51691,26,11,True,32,12,12
14830,26,10,True,32,18,5
28394,26,10,True,29,54,18
48616,26,10,True,32,70,12
54911,26,10,True,26,73,12
11451,26,9,True,24,1,12
22748,26,8,True,35,37,12
27009,26,8,True,36,53,11
21769,26,7,True,27,10,5
13959,26,6,True,32,12,12
15242,26,5,True,37,14,18
14468,26,4,True,34,62,12
15031,26,4,True,32,52,12
1103,26,3,True,39,14,12
7280,26,3,True,24,51,12
10884,26,3,True,30,48,12
15583,26,2,True,33,1,5
51590,25,16,True,26,0,12
51548,25,15,True,31,22,12
20251,25,12,True,35,106,5
29191,25,12,True,38,126,12
3740,25,9,True,26,30,5
16338,25,8,True,24,58,13
5628,25,7,True,40,31,5
38150,25,7,True,22,294,14
11703,25,6,True,25,62,5
32585,25,6,True,26,30,5
15464,25,5,True,33,51,5
16801,25,5,True,36,25,13
64222,25,4,True,33,14,12
459,25,3,True,29,3,13
11670,25,3,True,30,62,12
15201,25,3,True,34,43,18
25921,25,3,True,35,53,4
29245,25,3,True,35,64,4
15618,25,2,True,26,166,13
42798,24,15,True,30,10,5
49861,24,14,True,36,80,5
32499,24,13,True,21,86,14
26823,24,12,True,30,93,4
29547,24,10,True,30,105,12
30658,24,10,True,24,31,12
14444,24,9,True,28,23,12
36935,24,8,True,21,68,15
23755,24,7,True,32,105,12
25260,24,7,True,32,16,5
2336,24,6,True,27,51,5
26131,24,6,True,30,62,12
45514,24,6,True,26,48,13
56982,24,6,True,31,37,18
12892,24,5,True,29,14,14
17613,24,5,True,41,0,20
18720,24,5,True,23,70,5
18036,23,12,True,33,56,12
